Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases/1M_pop,Deaths/1M_pop,TotalTests,Tests/1M_pop,WHO_Region,MortalityRatio,RecoveryRatio,CasesPerPopulation,DeathsPer1M,CasesPer1M,DailyGrowthRateCases,DailyGrowthRateDeaths,DailyGrowthRateRecovered,DailyGrowthRateCases_MA7,DailyGrowthRateDeaths_MA7,DailyGrowthRateRecovered_MA7
Guyana,South America,786936.0,538,656.0,22.0,80.0,189.0,936.0,327.0,2.0,684.0,28.0,5165.0,6563.0,Americas,4.089219330855019,35.130111524163574,0.0006836642369900474,27.956530137139488,683.6642369900475,121.93308550185873,363.6363636363636,495.23809523809524,98.82731304279676,583.9337174873054,269.83330968185203
Tanzania,Africa,59886383.0,509,656.0,21.0,80.0,183.0,936.0,305.0,7.0,8.0,0.4,135702.0,32585.0,Africa,4.12573673870334,35.952848722986246,8.499427991835807e-06,0.3506640232388054,8.499427991835807,128.88015717092338,380.9523809523809,511.47540983606564,104.69334429287896,524.0697719090741,308.7904382007069
Taiwan,Asia,23821199.0,477,656.0,7.0,80.0,443.0,936.0,27.0,27.5,20.0,0.3,82737.0,3473.0,WesternPacific,1.4675052410901468,92.87211740041928,2.0024180982661705e-05,0.293855905405937,20.024180982661704,137.52620545073376,1142.857142857143,211.28668171557564,111.70998742812048,637.6456370377343,262.5660866090544
Comoros,Africa,871326.0,396,656.0,7.0,80.0,340.0,936.0,49.0,27.5,454.0,8.0,135702.0,32585.0,Africa,1.7676767676767675,85.85858585858585,0.0004544797240068585,8.033732495070732,454.47972400685853,165.65656565656565,1142.857142857143,275.29411764705884,122.21309231324783,712.9988552480954,281.35398886673175
Burundi,Africa,11922216.0,395,656.0,1.0,80.0,304.0,936.0,90.0,27.5,33.0,0.08,15614.0,1310.0,Africa,0.25316455696202533,76.9620253164557,3.313142456066892e-05,0.08387702420422512,33.13142456066892,166.0759493670886,8000.0,307.89473684210526,132.53132010960897,1828.645113751497,304.98670078350995
Myanmar,Asia,54446389.0,357,656.0,6.0,80.0,308.0,936.0,43.0,27.5,7.0,0.1,122290.0,2246.0,South-EastAsia,1.680672268907563,86.27450980392157,6.556908668451823e-06,0.11020014568826594,6.556908668451823,183.75350140056022,1333.3333333333335,303.8961038961039,144.81545880234384,1790.5498756562588,325.8135573246522
Mauritius,Africa,1271985.0,344,656.0,10.0,80.0,334.0,936.0,0.0,27.5,270.0,8.0,205285.0,161389.0,Africa,2.9069767441860463,97.09302325581395,0.0002704434407638455,7.861727929181555,270.4434407638455,190.69767441860466,800.0,280.2395209580838,156.36044842376214,1880.5194805194806,340.76066659044125
Isle of Man,Europe,85078.0,336,656.0,24.0,80.0,312.0,936.0,0.0,27.5,3949.0,282.0,8627.0,101401.0,Europe,7.142857142857142,92.85714285714286,0.003949317097251934,282.0940783751381,3949.317097251934,195.23809523809524,333.33333333333337,300.0,166.83259267179594,1876.1904761904764,312.8695101278562
Mongolia,Asia,3283344.0,293,656.0,113.0,80.0,260.0,936.0,33.0,1.0,89.0,29.0,38334.0,11675.0,WesternPacific,38.56655290102389,88.73720136518772,8.92382887690111e-05,34.41613184606913,89.2382887690111,223.89078498293514,70.79646017699115,360.0,180.40553950208331,1831.8824875082778,291.2301658655611
Eritrea,Africa,3551175.0,282,656.0,113.0,80.0,225.0,936.0,57.0,27.5,79.0,29.0,135702.0,32585.0,Africa,40.0709219858156,79.7872340425532,7.941033601554415e-05,31.820453793462725,79.41033601554415,232.6241134751773,70.79646017699115,416.0,193.99095493414669,1678.7309614111132,320.4749256204788
Guadeloupe,North America,400131.0,279,656.0,14.0,80.0,179.0,936.0,86.0,27.5,697.0,35.0,18476.0,46175.0,Europe,5.017921146953405,64.15770609318996,0.0006972716435367418,34.98854125273973,697.2716435367417,235.12544802867384,571.4285714285714,522.9050279329609,203.91508098730498,1597.0983083498888,355.8479128041791
